Month,Total_kWh,HVAC_kWh,Lighting_kWh,Equipment_kWh,Emissions_kgCO2e,Month_Num
Jan,65485,37918,13952,13615,25100.40,1
Feb,63123,35781,13727,13615,24195.05,2
Mar,58396,33530,12714,12152,22383.19,3
Apr,56033,31055,12489,12489,21477.45,4
May,62222,36681,13052,12489,23849.69,5
Jun,72912,44782,14515,13615,27947.17,6
Jul,81127,50973,15527,14627,31095.98,7
Aug,78649,48945,15077,14627,30146.16,8
Sep,70324,43207,13615,13502,26955.19,9
Oct,65147,38368,13277,13502,24970.85,10
Nov,60534,34655,12827,13052,23202.68,11
Dec,66048,38368,13840,13840,25316.20,12
